,user_id,university_id
0,1,214786
1,1,240338
2,1,207388
3,1,193991
4,1,417789
5,1,447713
6,2,446677
7,2,483948
8,2,230010
9,3,137281
10,3,209667
11,3,491109
12,4,133386
13,4,190716
14,4,21287803
15,5,153375
16,5,406149
17,5,196176
18,5,434672
19,5,439020
20,5,152044
21,5,487320
22,5,241614
23,5,231873
24,5,146977
25,6,155283
26,6,110547
27,6,161545
28,6,363721
29,6,193609
30,6,442435
31,6,476610
32,6,201654
33,6,431886
34,7,118976
35,7,488411
36,7,147341
37,7,126951
38,7,236744
39,7,419633
40,7,488235
41,7,461032
42,8,431187
43,8,440101
44,8,166629
45,8,153311
46,9,452027
47,9,437097
48,10,153320
49,10,383312
50,10,212373
51,10,47503310
52,10,229115
53,10,480532
54,10,175607
55,10,126614
56,10,232450
57,11,199953
58,11,205054
59,11,159717
60,11,17706504
61,11,111726
62,12,195809
63,13,16947920
64,13,10236808
65,14,122436
66,14,220871
67,15,162690
68,15,481401
69,15,20627902
70,15,230621
71,15,195720
72,15,489159
73,15,142276
74,15,17706515
75,16,431594
76,16,21608301
77,16,243197
78,16,449506
79,16,441025
80,16,200022
81,16,440341
82,16,404365
83,17,182917
84,17,137865
85,17,227146
86,17,19050301
87,17,241739
88,17,109730
89,17,213987
90,18,461111
91,18,118541
92,18,127820
93,18,236975
94,18,196389
95,18,479248
96,18,430342
97,18,122409
98,18,204158
99,19,197674
100,19,482097
101,19,214829
102,20,152451
103,20,177685
104,20,425889
105,20,102429
106,20,232797
107,20,444486
108,20,209700
109,20,450094
110,20,380368
111,21,204334
112,21,159993
113,21,459374
114,21,218229
115,21,457633
116,21,11891201
117,21,223472
118,21,237543
119,22,488226
120,22,220312
121,22,448716
122,22,24297202
123,22,24893414
124,22,142443
125,22,462017
126,22,134495
127,23,451194
128,23,106102
129,23,204909
130,23,213914
131,24,250993
132,24,433660
133,25,138840
134,25,101240
135,25,145336
136,25,146700
137,25,45897307
138,25,102711
139,25,140340
140,25,428392
141,25,233480
142,26,203517
143,26,442781
144,26,486406
145,26,237969
146,27,141945
147,27,169521
148,27,170082
149,27,140003
150,28,438212
151,29,420130
152,30,148955
153,30,437635
154,30,234173
155,30,130396
156,30,157030
157,31,476902
158,31,171304
159,31,461032
160,31,198695
161,31,453552
162,31,169071
163,31,231280
164,31,202648
165,31,418199
166,32,212160
167,32,178208
168,32,448691
169,32,137713
170,32,455114
171,32,226019
172,32,196060
173,33,204963
174,33,439473
175,33,450119
176,34,456560
177,34,24297203
178,34,455071
179,34,167039
180,34,165495
181,34,440855
182,35,436553
183,35,45897307
184,36,440819
185,36,440882
186,36,483735
187,36,439446
188,36,158325
189,36,230782
190,36,444468
191,36,209694
192,37,460516
193,37,157535
194,37,485290
195,37,447953
196,37,163532
197,37,211635
198,37,451918
199,37,489760
200,37,207388
201,37,176008
202,38,451282
203,38,156967
204,38,486141
205,38,460127
206,38,203775
207,38,482936
208,38,260664
209,38,150774
210,38,419244
211,39,139214
212,39,484783
213,39,235088
214,39,228042
215,39,175281
216,39,462044
217,39,237385
218,40,155627
219,40,173957
220,40,159531
221,40,180063
222,41,220701
223,41,204848
224,41,419660
225,42,124487
226,42,176080
227,42,226125
228,42,107655
229,42,17706522
230,42,199209
231,42,163657
232,43,206507
233,43,112446
234,43,428125
235,43,15631002
236,43,113537
237,43,483726
238,43,485528
239,43,474863
240,43,198066
241,44,112367
242,44,443137
243,44,446118
244,44,160038
245,44,183974
246,44,111939
247,45,482486
248,45,213251
249,45,138938
250,45,488059
251,45,108348
252,45,215239
253,45,443049
254,45,143552
255,46,196167
256,47,155195
257,47,245430
258,47,224660
259,47,235334
260,47,189714
261,47,218706
262,47,182670
263,48,158246
264,48,367875
265,48,188021
266,49,169576
267,49,455859
268,49,440873
269,49,172608
270,49,134079
271,49,13017401
272,49,187596
273,49,239372
274,49,13508110
275,49,14902801
276,50,475200
277,50,449597
278,50,375726
279,51,232016
280,51,111434
281,51,155104
282,52,490601
283,53,100937
284,53,489122
285,53,190293
286,54,19570201
287,54,126711
288,54,484172
289,54,369905
290,54,227429
291,54,115214
292,54,418056
293,54,230205
294,54,156860
295,55,155140
296,55,203492
297,55,434539
298,55,102845
299,55,207157
300,55,228219
301,55,466930
302,56,481854
303,56,230630
304,56,450021
305,56,366191
306,56,133711
307,56,482936
308,56,439914
309,57,207102
310,57,104568
311,57,488022
312,57,455062
313,57,120290
314,57,224712
315,57,243638
316,58,485263
317,58,408163
318,58,241739
319,58,166513
320,59,225627
321,59,457679
322,59,106892
323,59,222576
324,59,204839
325,59,144740
326,59,436483
327,60,12268510
328,60,476744
329,60,149231
330,60,449339
331,60,127200
332,60,242413
333,61,453552
334,62,480028
335,62,484394
336,62,189565
337,63,197814
338,63,441423
339,63,215114
340,64,196149
341,64,196431
342,64,214777
343,64,485810
344,64,383020
345,64,448646
346,64,217606
347,64,21510501
348,64,213534
349,64,114460
350,65,107318
351,65,214476
352,65,485704
353,65,164775
354,65,460385
355,65,151263
356,66,161776
357,66,455901
358,66,163462
359,66,196060
360,66,461865
361,66,191676
362,66,262165
363,66,139384
364,66,13508113
365,66,202170
366,67,177135
367,67,483939
368,67,484950
369,67,214272
370,67,420042
371,67,455956
372,67,475228
373,67,233116
374,67,482468
375,68,161004
376,68,180984
377,69,155487
378,69,458502
379,69,201159
380,69,162168
381,69,443641
382,69,144962
383,69,440323
384,70,431716
385,70,450951
386,70,240444
387,70,167905
388,70,480170
389,70,120069
390,70,441070
391,71,475617
392,71,112172
393,71,455974
394,71,152336
395,71,204936
396,72,376224
397,72,474933
398,72,224554
399,72,207582
400,72,406024
401,73,479424
402,73,145275
403,73,180902
404,73,459727
405,73,204866
406,73,248934
407,73,161004
408,73,126951
409,74,448691
410,74,203474
411,74,219471
412,74,418968
413,74,157298
414,74,488110
415,74,138497
416,74,165981
417,75,490151
418,76,404338
419,76,232089
420,77,419095
421,77,190318
422,77,482255
423,77,132602
424,77,461148
425,77,139506
426,77,231624
427,77,186131
428,78,157809
429,78,218335
430,78,212434
431,78,447962
432,78,129923
433,79,488925
434,79,221759
435,80,364575
436,80,484190
437,80,17706524
438,80,228769
439,80,447023
440,80,195155
441,80,127884
442,81,382780
443,81,432384
444,81,213473
445,81,24297205
446,81,230038
447,81,433420
448,81,117690
449,81,419341
450,82,165264
451,83,236072
452,83,437732
453,84,108269
454,84,180258
455,84,225247
456,84,451370
457,84,124681
458,84,101295
459,84,139995
460,85,444334
461,85,457785
462,85,446880
463,85,375744
464,85,182999
465,85,451671
466,85,200165
467,86,447865
468,86,481474
469,86,240471
470,86,162007
471,86,131405
472,86,407568
473,86,121619
474,86,230995
475,87,150303
476,87,190114
477,87,224323
478,87,260789
479,87,459727
480,88,365213
481,88,166054
482,88,105659
483,88,235547
484,88,223524
485,88,23368408
486,88,449250
487,88,155423
488,89,486202
489,89,178721
490,90,15631003
491,90,208123
492,90,454999
493,90,480727
494,90,123165
495,90,114716
