university_id,major_id
100663,1
100663,2
100663,3
100663,4
100663,5
100663,6
100663,7
100663,8
100663,9
100663,10
100663,11
100663,12
100663,13
100663,14
100663,15
100663,16
100663,17
100663,18
100663,19
100663,20
100663,21
100663,22
100663,23
100663,24
100663,25
100663,26
100663,27
100663,28
100663,29
100690,1
100690,2
100690,3
100690,4
100690,5
100690,6
100690,7
100690,8
100690,9
100690,10
100690,11
100690,12
100690,13
100690,14
100690,15
100690,16
100690,17
100690,18
100690,19
100690,20
100690,21
100690,22
100690,23
100690,24
100690,25
100690,26
100690,27
100690,28
100690,29
100706,1
100706,2
100706,3
100706,4
100706,5
100706,6
100706,7
100706,8
100706,9
100706,10
100706,11
100706,12
100706,13
100706,14
100724,1
100724,2
100724,3
100724,4
100724,5
100724,6
100724,7
100724,8
100724,9
100724,10
100724,11
100724,12
100724,13
100724,14
100724,15
100724,16
100724,17
100724,18
100724,19
100724,20
100724,21
100724,22
100724,23
100751,1
100751,2
100751,3
100751,4
100751,5
100751,6
100751,7
100751,8
100751,9
100751,10
100751,11
100751,12
100751,13
100751,14
100751,15
100751,16
100751,17
100751,18
100751,19
100751,20
100751,21
100751,22
100751,23
100751,24
100751,25
100751,26
100751,27
100760,1
100760,2
100760,3
100760,4
100812,1
100812,2
100812,3
100812,4
100812,5
100812,6
100812,7
100812,8
100812,9
100812,10
100812,11
100812,12
100812,13
100812,14
100812,15
100812,16
100812,17
100812,18
100812,19
100812,20
100812,21
100812,22
100812,23
100812,24
100812,25
100812,26
100812,27
100812,28
100830,1
100830,2
100830,3
100830,4
100830,5
100830,6
100830,7
100830,8
100830,9
100830,10
100830,11
100830,12
100830,13
100830,14
100830,15
100858,1
100858,2
100858,3
100858,4
100858,5
100858,6
100858,7
100858,8
100858,9
100858,10
100937,1
100937,2
100937,3
100937,4
100937,5
100937,6
100937,7
100937,8
100937,9
100937,10
100937,11
100937,12
100937,13
100937,14
100937,15
100937,16
100937,17
100937,18
100937,19
100937,20
100937,21
100937,22
100937,23
100937,24
101028,1
101028,2
101028,3
101028,4
101028,5
101028,6
101028,7
101028,8
101028,9
101028,10
101028,11
101028,12
101073,1
101073,2
101073,3
101073,4
101073,5
101073,6
101073,7
101073,8
101073,9
101073,10
101073,11
101073,12
101073,13
101073,14
101073,15
101116,1
101116,2
101116,3
101116,4
101116,5
101116,6
101116,7
101116,8
101116,9
101116,10
101116,11
101116,12
101116,13
101116,14
101116,15
101116,16
101116,17
101143,1
101143,2
101143,3
101143,4
101143,5
101143,6
101143,7
101143,8
101143,9
101143,10
101143,11
101143,12
101143,13
101143,14
101143,15
101143,16
101143,17
101143,18
101143,19
101161,1
101161,2
101161,3
101161,4
101161,5
101161,6
101161,7
101161,8
101161,9
101161,10
101161,11
101161,12
101161,13
101161,14
101161,15
101161,16
101161,17
101189,1
101189,2
101189,3
101189,4
101189,5
101189,6
101189,7
101240,1
101240,2
101240,3
101240,4
101240,5
101240,6
101240,7
101240,8
101240,9
101277,1
101277,2
101277,3
101277,4
101277,5
101277,6
101277,7
101277,8
101277,9
101277,10
101277,11
101277,12
101277,13
101277,14
101277,15
101277,16
101277,17
101277,18
101277,19
101277,20
101277,21
101277,22
101277,23
101277,24
101277,25
101277,26
101277,27
101277,28
101277,29
101277,30
101277,31
101277,32
101286,1
101286,2
101286,3
101286,4
101286,5
101286,6
101286,7
101286,8
101286,9
101286,10
101286,11
101286,12
101295,1
101295,2
101295,3
101295,4
101295,5
101301,1
101301,2
101301,3
101301,4
101301,5
101301,6
101301,7
101301,8
101301,9
101301,10
101301,11
101301,12
101301,13
101301,14
101301,15
101301,16
101301,17
101301,18
101301,19
101301,20
101301,21
101301,22
101301,23
101365,1
101365,2
101365,3
101365,4
101365,5
101365,6
101365,7
101365,8
101365,9
101365,10
101365,11
101435,1
101435,2
101435,3
101435,4
101435,5
101435,6
101435,7
101435,8
101435,9
101435,10
101435,11
101435,12
101435,13
101453,1
101453,2
101453,3
101453,4
101453,5
101453,6
101453,7
101453,8
101453,9
101453,10
101453,11
101453,12
101462,1
101462,2
101462,3
101462,4
101462,5
101471,1
101471,2
101480,1
101480,2
101480,3
101480,4
101480,5
101480,6
101480,7
101480,8
101480,9
101480,10
101480,11
101480,12
101480,13
101499,1
101499,2
101499,3
101499,4
101499,5
101499,6
101499,7
101499,8
101499,9
101499,10
101499,11
101499,12
101499,13
101499,14
101499,15
101499,16
101499,17
101499,18
